tournamentId,teamId,teamName
1,1,Панцерфауст
1,2,Пончики
1,3,Элит тим: воскрешение
1,4,Шашлычная27 v2.0
1,5,Пять озёр
1,6,BROOKLYN 9-9
1,7,HighPingTeam
1,8,SharTeam
1,9,Baki
1,10,LLIKODNIKI
1,11,Team AKI
1,12,ТРАНСИКИ
1,13,killing floor
1,14,Bananas’s ultras
1,15,JägermeisterS
1,16,уклонисты
1,17,rnb club
1,18,(1P1)
1,19,Nike pro W
1,20,BOBR
2,1,ТРАНСИКИ
2,2,Immortal Draft
2,3,BROOKLYN 9-9
2,4,JägermeisterS
2,5,анлаки попка
2,6,HighPingTeam
2,7,Team AKI
2,8,BIGGERSSPIDERS
2,9,Пончики
2,10,Suicide squad
2,11,SNIP
2,12,Baki
2,13,(1P1)
2,14,rnb club
3,1,GazLounge27
3,2,ELITEAM
3,3,Immortal Draft Game
3,4,FRND TEAM
3,5,Team Веселые бобры
3,6,Джигильдóны
3,7,Phv Team
3,8,ubaydar team
3,9,Лудоманы
3,10,Сarnage Squad
3,11,KABACHKI
3,12,Udmurtskaya ulitsa
3,13,ПДРЛ
3,14,TheFairInternetLeague
4,1,KAT-KIT
4,2,MIR
4,3,Jidkie Banditi
4,4,TraxittoBombito
4,5,MIVL
4,6,BYE
4,7,HOMYAKI
4,8,Fantastic Fo
4,9,уклонисты
4,10,Dao4kaMun
4,11,infinitelyOnyx
4,12,ТеРебята Team
4,13,GG
4,14,4TipaProSqd
4,15,EdinoRozhki_44
4,16,VS Esports
5,1,SNIP
5,2,BROOKLYN 9-9
5,3,BIGGERSSPIDERS
5,4,GENS
5,5,GTNG
5,6,KABACHKI
5,7,блек бакарди реборн
5,8,RNB
5,9,ОРГАНИЗМЫ
5,10,ARND
5,11,Paracetamol
5,12,ELITEAM
5,13,platina300
5,14,CarnageSquad
5,15,PHV_Team
5,16,Köklök
